,Address,Street,Number,Postal,City,Country
0,Arbonia Management AG;Amriswilerstrasse 50 9320 Arbon Schweiz,Amriswilerstrasse,50,9320,Arbon,Switzerland 
0,ista SE;Luxemburger Str. 1 45131 Essen,Luxemburger Str.,1,45131,Essen,Germany 
0,Ziegler Holding GmbH;Zur Betzenmühle 1 D-95703 Plößberg / OPf.,Zur Betzenmühle,1,95703,Plößberg,Germany 
0,Vallourec Deutschland GmbH;Am Röhrenwerk 1 40472 Düsseldorf-Rath,Am Röhrenwerk,1,40472,Düsseldorf,Germany 
0,umlaut SE;Am Kraftversorgungsturm 3 52070 Aachen (Germany),Am Kraftversorgungsturm,3,52070,Aachen,Germany
0,TI Fluid Systems;TI Fluid Systems 4650 Kingsgate Oxford OX4 2SU United Kingdom,4650,Kingsgate,Oxford,Business Pk South,Oxford OX4 2SU
0,"Rolls-Royce Deutschland Ltd & Co KG;Eschenweg 11, OT Dahlewitz 15827 Blankenfelde-Mahlow",Gewerbegebiet,Eschenweg,Eschenweg,11,15827 Blankenfelde-Mahlow
0,MEGGLE GmbH & Co. KG;Megglestr. 6-12 • 83512 Wasserburg am Inn,Megglestraße,6-12,83512,Wasserburg am Inn,Germany 
0,"Maxion Wheels Holding GmbH ;Ladestraße 53639 Königswinter, Germany",Ladestraße,1,53639,Königswinter,Germany 
0,Koenig & Bauer AG;Friedrich-Koenig-Straße 4 97080 Würzburg,Friedrich-Koenig-Straße,4,97080,Würzburg,Germany 
0,Koenig & Bauer AG;Friedrich-Koenig-Straße 4 97080 Würzburg,Friedrich-Koenig-Straße,4,97080,Würzburg,Germany 
0,HYDAC International GmbH;Industriestraße  66280 Sulzbach/Saar,N/A,N/A,N/A,[N/A,N/A
0,H. Gautzsch Zentrale Dienste GmbH;Dornierweg 12 48155 Münster,Dornierweg,12,48155,Münster,Germany 
0,Domino’s Pizza Deutschland GmbH;Am Sandtorkai 75-77 20457 Hamburg,Am Sandtorkai,77,20457,Hamburg,Germany 
0,"Cytec International Trading GmbH;Deggendorfer Str. 44 94513 Schönberg, DE",Deggendorfer Str.,44,94513,Schönberg,Germany 
0,CREATON GmbH ;Dillinger Str. 60  86637 Wertingen,Dillinger Str.,60,86637,Wertingen,Germany 
0,CHIRON Group SE;Kreuzstraße 75 78532 Tuttlingen,Kreuzstraße,75,78532,Tuttlingen,Germany 
0,Autohaus Fulda Krah & Enders GmbH;Frankfurter Str. 127 36043 Fulda,Frankfurter Str.,127,36043,Fulda,Germany 
0,Autohaus Fulda Krah & Enders GmbH;Frankfurter Str. 127 36043 Fulda,Frankfurter Str.,127,36043,Fulda,Germany 
0,ARBURG GmbH + Co KG;Arthur-Hehl-Straße 72290 Loßburg,Arthur-Hehl-Straß,Arthur-Hehl-Straße,72290,Loßburg,Germany 
0,Rohrdorfer Baustoffe Austria GmbH;Lagerstraße 1-5 2103 Langenzersdorf,Lagerstraße,1-5,2103,Langenzersdorf,Austria 
0,Fronius International GmbH;Froniusstraße 1  A-4643 Pettenbach,Froniusstraße,1,4643,Pettenbach,Austria 
0,ENGEL AUSTRIA GmbH;Ludwig-Engel-Straße 1 A-4311 Schwertberg Austria,Ludwig-Engel-Straße,1,4311,Schwertberg,Austria 
0,Rohrdorfer Baustoffe Austria GmbH;Lagerstraße 1-5 2103 Langenzersdorf,Lagerstraße,1-5,2103,Langenzersdorf,Austria 
0,Swietelsky AG;Edlbacherstraße 10 4020 Linz Österreich,Edlbacherstraße,10,4020,Linz,Austria
0,"Hagleitner Hygiene International GmbH;Lunastraße 5, A-5700 Zell am See",Lunastraße,5,5700,Zell am See,Austria 
0,Geberit International AG;Schachenstrasse 77 CH-8645 Jona,Schachenstrasse,77,8645,Rapperswil-Jona,Switzerland 
0,Berglandmilch eGen;Schubertstraße 30 4600 Wels Österreich,Schubertstraße,30,4600,Wels,Austria
0,Open Grid Europe GmbH (OGE);Kallenbergstr. 5 45141 Essen Deutschland,Kallenbergstraße,5,45141,Essen,Germany 
0,AUWA Chemie GmbH;Argonstraße 7 D-86153 Augsburg,Argonstraße,7,86153,Augsburg,Germany 
0,Choice AG;Thomas-Mann-Straße 16 - 20 90471 Nürnberg,Thomas-Mann-Straße,16-20,90471,Nürnberg,Germany 
0,Sateco;Sonnenbergstrasse 72 8603 Schwerzenbach Switzerland,Sonnenbergstrasse,72,8603,Schwerzenbach,Switzerland 
0,ams-OSRAM International GmbH;Leibnizstr. 4 93055 Regensburg,Leibnizstraße,4,93055,Regensburg,Germany 
0,Dornier Group GmbH;Charlottenstraße 18 10117 Berlin,Charlottenstraße,18,10117,Berlin,Germany 
0,RONAL AG;Lerchenbühl 3 CH-4624 Härkingen,Lerchenbühl,3,4624,Härkingen,Switzerland 
0,Porsche Austria GmbH & Co OG Groß- und Einzelhandel für ŠKODA;A-5020 Salzburg Louise-Piëch-Straße 2,Louise-Piëch-Straße,2,5020,Salzburg,Austria 
0,Polynorm Software AG;Europa-Strasse 18 CH-8152 Glattbrugg,Europa-Strasse,18,8152,Opfikon,Switzerland 
0,"BMI Group Holdings UK Ltd;Thames Tower, 4th Floor, Station Rd, Reading, United Kingdom, RG1 1LX",Thames,Tower,Station,Rd,Reading RG1 1LX
0,Takeda Pharma Vertrieb GmbH & Co. KG;Potsdamer Str. 125 D - 10783 Berlin,Potsdamer Str.,125,10783,Berlin,Germany 
0,"Telegärtner Karl Gärtner GmbH;Lerchenstr. 35 71144 Steinenbronn, Deutschland",Lerchenstraße,35,71144,Steinenbronn,Germany 
0,"Novelis Deutschland GmbH;Hannoversche Straße 1, 37075 Göttingen, Germany",Hannoversche Str.,1,37075,Göttingen,Germany 
0,"Preis GmbH;A-2763 Pernitz, Josef Nitsch Str. 5",Josef Nitsch-Straße,5,2763,Pernitz,Austria 
0,enersol GmbH;Breuninger Straße 10/3 D-74343 Sachsenheim,Breuninger Str.,10/3,74343,Sachsenheim,Germany 
0,Baumit GmbH ;Reckenberg 12 D-87541 Bad Hindelang,Reckenberg,12,87541,Bad Hindelang,Germany 
0,ArcelorMittal Germany Holding GmbH;Dradenaustr. 33 21129 Hamburg,Dradenaustraße,33,21129,Hamburg,Germany
0,Comet AG;Herrengasse 10 3175 Flamatt Switzerland,Herrengasse,10,3175,Wünnewil-Flamatt,Switzerland 
0,Leica Camera AG;Am Leitz-Park 5 D-35578 Wetzlar,Am Leitz-Park,5,35578,Wetzlar,Germany 
0,CSL Behring GmbH;Emil-von-Behring-Straße 76 D-35041 Marburg,Emil-von-Behring-Straße,76,35041,Marburg,Germany 
0,Hilcona AG;Bendererstrasse 21 FL-9494 Schaan,Benderer Str.,21,9494,Schaan,Liechtenstein 
0,EWL Genossenschaft;Äschmad 220 3822 Lauterbrunnen,Äschmad,220,3822,Lauterbrunnen,Switzerland 
0,Dr. August Oetker Nahrungsmittel KG;Lutterstraße 14 33617 Bielefeld,Lutterstraße,14,33617,Bielefeld,Germany 
0,MAN Truck & Bus SE;Dachauer Straße 667 80995 München,Dachauer Str.,667,80995,München,Germany
0,Porsche Austria GmbH & Co OG Großhandel für Audi;A-5020 Salzburg Louise-Piëch-Straße 2,Louise-Piëch-Straße,2,5020,Salzburg,Austria 
